digest_date,phrase,source_count,sources
2026-09-09,closed seed,2,EU-Startups; Tech.eu
2026-09-09,systems etruck,2,EU-Startups; Tech.eu
2026-09-09,energy systems,2,EU-Startups; Tech.eu
2026-09-09,bringing total,2,EU-Startups; Tech.eu
2026-09-09,platform connect,2,EU-Startups; Tech.eu
2026-09-09,lands build,2,EU-Startups; Tech.eu
2026-09-09,software platform,2,EU-Startups; Tech.eu
2026-09-09,has pre-seed,2,EU-Startups; Tech.eu
2026-09-09,exploration tec,2,EU-Startups; Tech.eu
2026-09-09,legaltech lexroom,2,Sifted; Tech.eu
2026-09-09,cee,2,EU-Startups; Sifted
2026-09-10,fund eif,2,EU-Startups; Tech.eu
2026-09-10,investment fund,2,EU-Startups; Tech.eu
2026-09-10,venture capital,2,EU-Startups; Tech.eu
2026-09-10,nordic foodtech,2,EU-Startups; Tech.eu
2026-09-10,series accelerate,2,EU-Startups; Tech.eu
2026-09-10,compliance,2,EU-Startups; Tech.eu
2026-09-10,investors including,2,EU-Startups; Tech.eu
2026-09-10,energy systems,2,EU-Startups; Tech.eu
2026-09-10,closed seed,2,EU-Startups; Tech.eu
2026-09-10,central software,2,EU-Startups; Tech.eu
2026-09-10,fryte mobility,2,EU-Startups; Tech.eu
2026-09-10,bringing total,2,EU-Startups; Tech.eu
2026-09-10,connect logistics,2,EU-Startups; Tech.eu
2026-09-10,building central,2,EU-Startups; Tech.eu
2026-09-10,software platform,2,EU-Startups; Tech.eu
2026-09-10,systems etruck,2,EU-Startups; Tech.eu
2026-09-10,mobility munich-based,2,EU-Startups; Tech.eu
2026-09-10,operations has,2,EU-Startups; Tech.eu
2026-09-10,etruck operations,2,EU-Startups; Tech.eu
2026-09-10,platform connect,2,EU-Startups; Tech.eu
2026-09-10,logistics energy,2,EU-Startups; Tech.eu
2026-09-10,seed bringing,2,EU-Startups; Tech.eu
2026-09-10,has closed,2,EU-Startups; Tech.eu
2026-09-10,has pre-seed,2,EU-Startups; Tech.eu
2026-09-10,has series,2,EU-Startups; Tech.eu
2026-09-10,build ai-powered,2,EU-Startups; Sifted
